,latitude,longitude,cluster
159,17.6442,78.0271,0
160,18.8372,78.5436,0
161,17.9485,80.173,0
162,17.981,80.1987,0
163,17.7893,80.2751,0
164,17.7985,80.2735,0
165,17.8078,80.2719,0
166,17.944,80.3151,0
167,18.0009,80.0166,0
168,18.0568,78.1888,0
169,17.8958,79.039,0
170,17.8975,79.0285,0
171,17.9053,79.0406,0
172,18.9916,78.8167,0
173,17.3183,77.6472,0
174,16.2995,78.5628,0
175,18.309,80.7168,2
176,17.6664,80.7127,0
177,17.6741,80.7065,0
178,17.6686,80.6997,0
179,17.9587,80.2151,0
180,18.0023,78.2601,2
181,18.3607,78.3249,0
182,17.2761,80.656,2
183,17.9238,80.3353,0
184,18.0503,80.0513,2
185,18.0746,79.9877,0
186,18.7621,79.9848,0
187,18.7647,79.9905,0
188,17.7656,80.2977,2
189,17.8079,80.4431,2
190,18.3111,80.3596,2
191,18.3162,80.3521,2
192,17.6805,80.2091,2
193,17.7049,80.9274,0
194,17.7035,80.9377,2
195,17.4982,80.8849,0
196,17.2351,77.5942,1
197,17.3715,77.7086,1
198,19.2555,78.8273,0
199,19.1931,78.5725,0
200,17.943,78.301,0
201,18.2648,77.7736,1
202,17.3702,77.6993,1
203,17.9235,80.3282,1
204,17.1994,80.8199,0
205,16.2406,78.8542,0
206,17.779,80.3161,0
207,17.7804,80.3255,0
208,17.8455,80.3951,0
209,17.8733,80.2092,0
210,17.8719,80.1998,2
211,17.87,80.4389,0
212,17.727,80.2098,0
213,17.6645,80.4172,0
214,17.7256,80.2005,0
215,17.6476,80.4792,0
216,16.6629,78.095,0
217,17.9032,80.4091,0
218,17.9037,80.3995,0
219,17.958,80.1564,0
220,17.7956,80.1878,2
221,17.6633,80.9741,0
222,18.0561,79.9885,2
223,18.1314,80.0,0
224,18.0587,79.9946,2
225,17.7711,80.4381,1
226,17.8166,80.2083,0
227,17.812,80.1913,0
228,17.814,80.2034,0
229,17.8147,80.1962,0
230,18.2981,80.719,2
231,18.1418,79.9341,0
232,18.5493,80.5837,2
233,16.3236,78.1054,0
234,17.266,78.711,0
235,16.1236,78.5222,2
236,16.1222,78.5315,2
237,18.2954,80.7104,2
238,17.5709,80.8667,2
239,17.8866,80.1892,0
240,17.8618,80.2153,0
241,17.8537,80.2236,0
242,17.8835,80.3658,0
243,17.7843,80.0921,0
244,18.0903,80.014,0
245,16.563,77.9666,1
246,18.0869,80.1076,0
247,18.0893,80.1303,0
248,18.0958,80.1242,0
249,17.8066,80.3003,0
250,17.8041,80.2764,0
251,17.8906,80.3575,0
252,17.8645,80.2386,2
253,16.0516,78.7051,2
254,17.8205,80.3461,2
255,17.8115,80.3475,2
256,17.8219,80.3558,2
257,17.8576,80.216,2
258,17.8667,80.2146,2
259,17.088,80.3797,2
260,17.6751,80.7153,0
261,17.7917,80.3044,2
262,17.8856,80.3298,2
263,17.853,80.3336,2
264,17.7701,80.3073,2
265,17.7684,80.2929,0
266,17.7938,80.2983,2
267,17.6106,78.8904,0
268,17.6694,78.0234,1
269,17.2391,77.6993,1
270,17.3893,78.2099,0
271,17.7246,78.041,1
272,17.7589,80.3954,2
273,17.8591,80.2052,0
274,18.0937,80.141,2
275,18.765,79.9759,2
276,18.7628,80.0023,2
277,18.1333,80.1246,2
278,17.7489,80.3939,2
279,16.1189,78.7895,0
280,17.3001,78.1756,1
281,17.8857,78.027,1
282,18.4158,78.0551,1
283,18.969,78.8212,0
284,17.4318,78.132,1
285,17.7214,78.0371,1
286,19.0638,78.6455,0
287,18.0541,80.1015,0
288,18.0504,80.1415,2
289,17.7777,80.093,2
290,18.0528,80.0919,0
291,17.8147,80.2938,2
292,17.8238,80.2924,2
293,17.5307,80.8174,0
294,17.1321,80.3936,0
295,17.5918,80.3787,0
296,17.5177,80.6687,0
297,17.5902,80.3686,1
298,16.1406,78.6887,0
299,17.0883,77.9444,1
