,latitude,longitude,cluster,year,District
226,17.8166,80.2083,0,2015,Mahabubabad
227,17.812,80.1913,0,2015,Mahabubabad
228,17.814,80.2034,0,2015,Mahabubabad
229,17.8147,80.1962,0,2015,Mahabubabad
230,18.2981,80.719,2,2015,Mulugu
231,18.1418,79.9341,0,2015,Mulugu
232,18.5493,80.5837,2,2015,Mulugu
233,16.3236,78.1054,0,2015,Wanaparthy
234,17.266,78.711,0,2015,Rangareddy
235,16.1236,78.5222,2,2015,Nagarkurnool
236,16.1222,78.5315,2,2015,Nagarkurnool
237,18.2954,80.7104,2,2015,Mulugu
238,17.5709,80.8667,2,2015,Bhadradri Kothagudem
239,17.8866,80.1892,0,2015,Mahabubabad
240,17.8618,80.2153,0,2015,Mahabubabad
241,17.8537,80.2236,0,2015,Mahabubabad
242,17.8835,80.3658,0,2015,Bhadradri Kothagudem
243,17.7843,80.0921,0,2015,Mahabubabad
244,18.0903,80.014,0,2015,Mulugu
245,16.563,77.9666,1,2015,Mahabubnagar
246,18.0869,80.1076,0,2015,Mulugu
247,18.0893,80.1303,0,2015,Mulugu
248,18.0958,80.1242,0,2015,Mulugu
249,17.8066,80.3003,0,2015,Bhadradri Kothagudem
250,17.8041,80.2764,0,2015,Bhadradri Kothagudem
251,17.8906,80.3575,0,2015,Bhadradri Kothagudem
252,17.8645,80.2386,2,2015,Mahabubabad
253,16.0516,78.7051,2,2015,Nagarkurnool
254,17.8205,80.3461,2,2015,Bhadradri Kothagudem
255,17.8115,80.3475,2,2015,Bhadradri Kothagudem
256,17.8219,80.3558,2,2015,Bhadradri Kothagudem
257,17.8576,80.216,2,2015,Mahabubabad
258,17.8667,80.2146,2,2015,Mahabubabad
259,17.088,80.3797,2,2015,Khammam
260,17.6751,80.7153,0,2015,Bhadradri Kothagudem
261,17.7917,80.3044,2,2015,Bhadradri Kothagudem
262,17.8856,80.3298,2,2015,Bhadradri Kothagudem
263,17.853,80.3336,2,2015,Bhadradri Kothagudem
264,17.7701,80.3073,2,2015,Bhadradri Kothagudem
265,17.7684,80.2929,0,2015,Bhadradri Kothagudem
266,17.7938,80.2983,2,2015,Bhadradri Kothagudem
267,17.6106,78.8904,0,2015,Yadadri Bhuvanagiri
268,17.6694,78.0234,1,2015,Sangareddy
269,17.2391,77.6993,1,2015,Vikarabad
270,17.3893,78.2099,0,2015,Rangareddy
271,17.7246,78.041,1,2015,Sangareddy
272,17.7589,80.3954,2,2015,Bhadradri Kothagudem
273,17.8591,80.2052,0,2015,Mahabubabad
274,18.0937,80.141,2,2015,Mulugu
275,18.765,79.9759,2,2015,Jayashankar Bhupalapally
276,18.7628,80.0023,2,2015,Jayashankar Bhupalapally
277,18.1333,80.1246,2,2015,Mulugu
278,17.7489,80.3939,2,2015,Bhadradri Kothagudem
279,16.1189,78.7895,0,2015,Nagarkurnool
280,17.3001,78.1756,1,2015,Rangareddy
281,17.8857,78.027,1,2015,Medak
282,18.4158,78.0551,1,2015,Kamareddy
283,18.969,78.8212,0,2015,Jagtial
284,17.4318,78.132,1,2015,Rangareddy
285,17.7214,78.0371,1,2015,Sangareddy
286,19.0638,78.6455,0,2015,Nirmal
287,18.0541,80.1015,0,2015,Mahabubabad
288,18.0504,80.1415,2,2015,Mahabubabad
289,17.7777,80.093,2,2015,Mahabubabad
290,18.0528,80.0919,0,2015,Mahabubabad
291,17.8147,80.2938,2,2015,Bhadradri Kothagudem
292,17.8238,80.2924,2,2015,Bhadradri Kothagudem
293,17.5307,80.8174,0,2015,Bhadradri Kothagudem
294,17.1321,80.3936,0,2015,Khammam
295,17.5918,80.3787,0,2015,Bhadradri Kothagudem
296,17.5177,80.6687,0,2015,Bhadradri Kothagudem
297,17.5902,80.3686,1,2015,Bhadradri Kothagudem
298,16.1406,78.6887,0,2015,Nagarkurnool
299,17.0883,77.9444,1,2015,Vikarabad
300,19.0692,78.586,0,2015,Nirmal
301,17.6062,77.9256,1,2015,Sangareddy
302,18.5648,78.0716,0,2015,Nizamabad
303,19.23,78.815,0,2015,Nirmal
304,17.8084,80.4634,1,2015,Bhadradri Kothagudem
305,18.571,80.192,0,2015,Jayashankar Bhupalapally
306,17.7646,80.118,0,2015,Mahabubabad
307,17.763,80.1078,0,2015,Mahabubabad
308,18.2301,79.8376,0,2015,Jayashankar Bhupalapally
309,18.1197,80.2593,0,2015,Mulugu
310,17.7158,80.4035,1,2015,Bhadradri Kothagudem
311,17.7373,80.4819,1,2015,Bhadradri Kothagudem
312,17.6411,80.4526,1,2015,Bhadradri Kothagudem
313,17.7,80.1143,0,2015,Mahabubabad
314,17.6426,80.4626,1,2015,Bhadradri Kothagudem
315,17.7358,80.4719,1,2015,Bhadradri Kothagudem
316,17.3372,81.1068,2,2015,Bhadradri Kothagudem
317,18.1576,79.1794,0,2015,Karimnagar
318,16.954,79.1343,0,2015,Nalgonda
319,17.1184,80.0087,0,2015,Khammam
320,17.1682,79.9561,0,2015,Khammam
321,18.429,80.5799,0,2015,Mulugu
322,18.4482,80.5612,0,2015,Mulugu
323,18.459,80.5592,0,2015,Mulugu
324,18.4497,80.5558,0,2015,Mulugu
325,18.4605,80.5538,0,2015,Mulugu
326,16.1583,78.7371,2,2015,Nagarkurnool
